raw_col_name,col_name,question_text,qualtrics_imoport_id,data_type,recode_values,allow_televisibility,allow_harm,no_allow_televisibility,no_allow_harm
LT-A8,low_low_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID25""}",boolean,"{'Yes':1, 'No':2}",low,low,med,high
LT-A9,low_low_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID26""}",boolean,"{'Yes':1, 'No':2}",low,low,high,high
LT-A10,low_med_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID27""}",boolean,"{'Yes':1, 'No':2}",low,med,low,low
LT-A11,low_med_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID28""}",boolean,"{'Yes':1, 'No':2}",low,med,med,low
LT-A12,low_med_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID29""}",boolean,"{'Yes':1, 'No':2}",low,med,high,low
LT-A13,low_med_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID30""}",boolean,"{'Yes':1, 'No':2}",low,med,low,med
LT-A14,low_med_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID31""}",boolean,"{'Yes':1, 'No':2}",low,med,med,med
LT-A15,low_med_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID32""}",boolean,"{'Yes':1, 'No':2}",low,med,high,med
LT-A16,low_med_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID33""}",boolean,"{'Yes':1, 'No':2}",low,med,low,high
LT-A17,low_med_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID34""}",boolean,"{'Yes':1, 'No':2}",low,med,med,high
LT-A18,low_med_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID35""}",boolean,"{'Yes':1, 'No':2}",low,med,high,high
LT-A19,low_high_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID36""}",boolean,"{'Yes':1, 'No':2}",low,high,low,low
LT-A20,low_high_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID37""}",boolean,"{'Yes':1, 'No':2}",low,high,med,low
LT-A21,low_high_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID38""}",boolean,"{'Yes':1, 'No':2}",low,high,high,low
LT-A22,low_high_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID39""}",boolean,"{'Yes':1, 'No':2}",low,high,low,med
LT-A23,low_high_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID40""}",boolean,"{'Yes':1, 'No':2}",low,high,med,med
LT-A24,low_high_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID41""}",boolean,"{'Yes':1, 'No':2}",low,high,high,med
LT-A25,low_high_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID42""}",boolean,"{'Yes':1, 'No':2}",low,high,low,high
LT-A26,low_high_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID43""}",boolean,"{'Yes':1, 'No':2}",low,high,med,high
LT-A27,low_high_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID44""}",boolean,"{'Yes':1, 'No':2}",low,high,high,high
MT-A1,low_low_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID46""}",boolean,"{'Yes':1, 'No':2}",low,low,low,low
MT-A2,med_low_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID47""}",boolean,"{'Yes':1, 'No':2}",med,low,med,low
MT-A3,med_low_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID48""}",boolean,"{'Yes':1, 'No':2}",med,low,high,low
MT-A4,med_low_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID49""}",boolean,"{'Yes':1, 'No':2}",med,low,low,med
MT-A5,med_low_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID50""}",boolean,"{'Yes':1, 'No':2}",med,low,med,med
MT-A6,med_low_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID51""}",boolean,"{'Yes':1, 'No':2}",med,low,high,med
MT-A7,med_low_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID52""}",boolean,"{'Yes':1, 'No':2}",med,low,low,high
MT-A8,med_low_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID53""}",boolean,"{'Yes':1, 'No':2}",med,low,med,high
MT-A9,med_low_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID54""}",boolean,"{'Yes':1, 'No':2}",med,low,high,high
MT-A10,med_med_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID55""}",boolean,"{'Yes':1, 'No':2}",med,med,low,low
MT-A11,med_med_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID56""}",boolean,"{'Yes':1, 'No':2}",med,med,med,low
MT-A12,med_med_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID57""}",boolean,"{'Yes':1, 'No':2}",med,med,high,low
MT-A13,med_med_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID58""}",boolean,"{'Yes':1, 'No':2}",med,med,low,med
MT-A14,med_med_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID59""}",boolean,"{'Yes':1, 'No':2}",med,med,med,med
MT-A15,med_med_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID60""}",boolean,"{'Yes':1, 'No':2}",med,med,high,med
MT-A16,med_med_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID61""}",boolean,"{'Yes':1, 'No':2}",med,med,low,high
MT-A17,med_med_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID62""}",boolean,"{'Yes':1, 'No':2}",med,med,med,high
MT-A18,med_med_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID63""}",boolean,"{'Yes':1, 'No':2}",med,med,high,high
MT-A19,med_high_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID64""}",boolean,"{'Yes':1, 'No':2}",med,high,low,low
MT-A20,med_high_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID65""}",boolean,"{'Yes':1, 'No':2}",med,high,med,low
MT-A21,med_high_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID66""}",boolean,"{'Yes':1, 'No':2}",med,high,high,low
MT-A22,med_high_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID67""}",boolean,"{'Yes':1, 'No':2}",med,high,low,med
MT-A23,med_high_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID68""}",boolean,"{'Yes':1, 'No':2}",med,high,med,med
MT-A24,med_high_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID69""}",boolean,"{'Yes':1, 'No':2}",med,high,high,med
MT-A25,med_high_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID70""}",boolean,"{'Yes':1, 'No':2}",med,high,low,high
MT-A26,med_high_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID71""}",boolean,"{'Yes':1, 'No':2}",med,high,med,high
MT-A27,med_high_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID72""}",boolean,"{'Yes':1, 'No':2}",med,high,high,high
HT-A1,high_low_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID73""}",boolean,"{'Yes':1, 'No':2}",high,low,low,low
HT-A2,high_low_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID74""}",boolean,"{'Yes':1, 'No':2}",high,low,med,low
HT-A3,high_low_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID75""}",boolean,"{'Yes':1, 'No':2}",high,low,high,low
HT-A4,high_low_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID76""}",boolean,"{'Yes':1, 'No':2}",high,low,low,med
HT-A5,high_low_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID77""}",boolean,"{'Yes':1, 'No':2}",high,low,med,med
HT-A6,high_low_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID78""}",boolean,"{'Yes':1, 'No':2}",high,low,high,med
